"","home.team","batter.team","league","full.name","pitching.data.team","field","built.year","wp","BPF"
"Angels","ANA","laa","AL","Los Angeles Angels of Anaheim","LAA","Angel Stadium of Anaheim",2012,"LAA",0.946957242052987
"Orioles","BAL","bal","AL","Baltimore Orioles","BAL","Oriole Park at Camden Yards",1992,"BAL",1.02669311638197
"Red Sox","BOS","bos","AL","Boston Red Sox","BOS","Fenway Park II",1934,"BOS",1.02939016718813
"White Sox","CHA","chw","AL","Chicago White Sox","CWS","U.S. Cellular Field",2003,"CHW",0.976218571094978
"Indians","CLE","cle","AL","Cleveland Indians","CLE","Progressive Field",2012,"CLE",1.02266034261991
"Tigers","DET","det","AL","Detriot Tigers","DET","Comerica Park",2000,"DET",0.996568826131626
"Astros","HOU","hou","AL","Houston Astros","HOU","Minute Maid Park",2002,"HOU",1.00699199667319
"Royals","KCA","kc","AL","Kansas City Royals","KC","Kauffman Stadium",1993,"KC",1.03607354282647
"Twins","MIN","min","AL","Minnesota Twins","MIN","Target Field",2010,"MIN",1.01601998731681
"Yankees","NYA","nyy","AL","New York Yankees","NYY","Yankee Stadium III",2009,"NYY",1.00080357334654
"Athletics","OAK","oak","AL","Oakland Athletics","OAK","O.co Coliseum",2012,"OAK",0.977101863548734
"Mariners","SEA","sea","AL","Seattle Mariners","SEA","Safeco Field",1999,"SEA",0.936703912395345
"Rays","TBA","tb","AL","Tampa Bay Rays","TB","Tropicana Field",1998,"TB",0.978817454578477
"Rangers","TEX","tex","AL","Texas Rangers","TEX","Rangers Ballpark in Arlington",2007,"TEX",1.03638764211221
"Blue Jays","TOR","tor","AL","Toronto Blue Jays","TOR","Rogers Centre",2005,"TOR",0.996447227448868
"Diamondbacks","ARI","ari","NL","Arizona Diamondbacks","ARI","Chase Field",2006,"ARI",1.00726017313364
"Braves","ATL","atl","NL","Atlanta Braves","ATL","Turner Field",1997,"ATL",0.970290044722996
"Cubs","CHN","chc","NL","Chicago Cubs","CHC","Wrigley Field",1914,"CHC",1.01839389783089
"Reds","CIN","cin","NL","Cincinnati Reds","CIN","Great American Ball Park",2003,"CIN",0.999974093356898
"Rockies","COL","col","NL","Colorado Rockies","COL","Coors Field",1995,"COL",1.15931635484923
"Dodgers","LAN","la","NL","Los Angeles Dodgers","LAD","Dodger Stadium",1962,"LAD",0.958527270007152
"Marlins","MIA","mia","NL","Miami Marlins","MIA","Marlins Park",2012,"MIA",0.998810065880383
"Brewers","MIL","mil","NL","Milwaukee Brewers","MIL","Miller Park",2001,"MIL",1.02193864448494
"Mets","NYN","nym","NL","New York Mets","NYM","Citi Field",2009,"NYM",0.937469592396415
"Phillies","PHI","phi","NL","Philadelphia Phillies","PHI","Citizens Bank Park",2004,"PHI",1.01689876623568
"Pirates","PIT","pit","NL","Pittsburgh Pirates","PIT","PNC Park",2001,"PIT",0.990525563575029
"Padres","SDN","sd","NL","San Diego Padres","SD","Petco Park",2004,"SD",0.912096512604565
"Giants","SFN","sf","NL","San Francisco Giants","SF","AT&T Park",2006,"SF",0.941065458163083
"Cardinals","SLN","stl","NL","St. Louis Cardinals","STL","Busch Stadium III",2006,"STL",1.00001941234458
"Nationals","WAS","was","NL","Washington Nationals","WSH","Nationals Park",2008,"WSH",1.03095130580066
